Unnamed: 0,Unnamed: 0.1,company,title,description,published date,url,publisher,Unnamed: 0.1.1
20,20,AMZN,Amazon’s AI Answer to ChatGPT Seen as Incomplete (AMZN) - Bloomberg,Amazon’s AI Answer to ChatGPT Seen as Incomplete (AMZN)  Bloomberg,"Wed, 24 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDIzLTA1LTI0L2FtYXpvbi1zLWFuc3dlci10by1jaGF0Z3B0LXNlZW4tYXMtaW5jb21wbGV0ZS12YXBvcndhcmXSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.bloomberg.com', 'title': 'Bloomberg'}",
21,21,AMZN,"Amazon Shareholders Reject Union Rights, Climate Proposals (1) - Bloomberg Law","Amazon Shareholders Reject Union Rights, Climate Proposals (1)  Bloomberg Law","Wed, 24 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vbmV3cy5ibG9vbWJlcmdsYXcuY29tL2VzZy9hbWF6b24tc2hhcmVob2xkZXJzLXZvdGUtYWdhaW5zdC11bmlvbi1yaWdodHMtY2xpbWF0ZS1wcm9wb3NhbHPSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://news.bloomberglaw.com', 'title': 'Bloomberg Law'}",
22,22,AMZN,Aramark Sports + Entertainment Announces Latest Innovation with Launch of New Amazon One Age Verification ... - Aramark,Aramark Sports + Entertainment Announces Latest Innovation with Launch of New Amazon One Age Verification ...  Aramark,"Sun, 21 May 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmFyYW1hcmsuY29tL25ld3Nyb29tL25ld3MvMjAyMy9tYXkvLWFyYW1hcmstc3BvcnRzLS0tZW50ZXJ0YWlubWVudC1hbm5vdW5jZXMtbGF0ZXN0LWlubm92YXRpb24td2l0aNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aramark.com', 'title': 'Aramark'}",
23,23,AMZN,How Amazon deploys collaborative robots in its operations to benefit employees and customers - About Amazon,How Amazon deploys collaborative robots in its operations to benefit employees and customers  About Amazon,"Mon, 26 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL29wZXJhdGlvbnMvaG93LWFtYXpvbi1kZXBsb3lzLXJvYm90cy1pbi1pdHMtb3BlcmF0aW9ucy1mYWNpbGl0aWVz0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
24,24,AMZN,FTC Announces Enforcement Actions Against Amazon's Alexa and Ring Divisions for Violations of User Privacy - WilmerHale,FTC Announces Enforcement Actions Against Amazon's Alexa and Ring Divisions for Violations of User Privacy  WilmerHale,"Tue, 06 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFodHRwczovL3d3dy53aWxtZXJoYWxlLmNvbS9lbi9pbnNpZ2h0cy9ibG9ncy93aWxtZXJoYWxlLXByaXZhY3ktYW5kLWN5YmVyc2VjdXJpdHktbGF3LzIwMjMwNjA2LWZ0Yy1hbm5vdW5jZXMtZW5mb3JjZW1lbnQtYWN0aW9ucy1hZ2FpbnN0LWFtYXpvbnMtYWxleGEtYW5kLXJpbmctZGl2aXNpb25zLWZvci12aW9sYXRpb25zLW9mLXVzZXItcHJpdmFjedIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.wilmerhale.com', 'title': 'WilmerHale'}",
25,25,AMZN,"Once a reliable cash cow, Amazon's cloud business slows as companies pull back on service - The Associated Press","Once a reliable cash cow, Amazon's cloud business slows as companies pull back on service  The Associated Press","Mon, 12 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2FtYXpvbi1hd3Mtc2xvd2Rvd24tY2xvdWQtc2VydmljZXMtODEzYTljZDBhZjMzY2NlZTZjZmNkNzQ4MTgwMjc0YjfSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://apnews.com', 'title': 'The Associated Press'}",
26,26,AMZN,Amazon duped millions of people into enrolling in Prime: US FTC - Al Jazeera English,Amazon duped millions of people into enrolling in Prime: US FTC  Al Jazeera English,"Wed, 21 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vZWNvbm9teS8yMDIzLzYvMjEvYW1hem9uLWR1cGVkLW1pbGxpb25zLW9mLXBlb3BsZS1pbnRvLWVucm9sbGluZy1pbi1wcmltZS11cy1mdGPSAW5odHRwczovL3d3dy5hbGphemVlcmEuY29tL2FtcC9lY29ub215LzIwMjMvNi8yMS9hbWF6b24tZHVwZWQtbWlsbGlvbnMtb2YtcGVvcGxlLWludG8tZW5yb2xsaW5nLWluLXByaW1lLXVzLWZ0Yw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aljazeera.com', 'title': 'Al Jazeera English'}",
27,27,AMZN,"Top 5 facts you may not know about Amazon One, our palm recognition service - About Amazon","Top 5 facts you may not know about Amazon One, our palm recognition service  About Amazon","Thu, 01 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL3JldGFpbC81LWZhY3RzLXlvdS1tYXktbm90LWtub3ctYWJvdXQtYW1hem9uLW9uZdIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}",
28,28,AMZN,"4 reasons Amazon’s stock can keep soaring, according to one analyst who’s named it his top pick - MarketWatch","4 reasons Amazon’s stock can keep soaring, according to one analyst who’s named it his top pick  MarketWatch","Mon, 26 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy5tYXJrZXR3YXRjaC5jb20vc3RvcnkvNC1yZWFzb25zLWFtYXpvbnMtc3RvY2stY2FuLWtlZXAtc29hcmluZy1hY2NvcmRpbmctdG8tb25lLWFuYWx5c3Qtd2hvcy1uYW1lZC1pdC1oaXMtdG9wLXBpY2stZjY0MTMzZWbSAYsBaHR0cHM6Ly93d3cubWFya2V0d2F0Y2guY29tL2FtcC9zdG9yeS80LXJlYXNvbnMtYW1hem9ucy1zdG9jay1jYW4ta2VlcC1zb2FyaW5nLWFjY29yZGluZy10by1vbmUtYW5hbHlzdC13aG9zLW5hbWVkLWl0LWhpcy10b3AtcGljay1mNjQxMzNlZg?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.marketwatch.com', 'title': 'MarketWatch'}",
29,29,AMZN,Amazon Stock Gets Price-Target Hike On AWS Prospects - Investor's Business Daily,Amazon Stock Gets Price-Target Hike On AWS Prospects  Investor's Business Daily,"Thu, 08 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2FtYXpvbi1zdG9jay1nZXRzLXByaWNlLXRhcmdldC1oaWtlLW9uLWF3cy1wcm9zcGVjdHMv0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}",
