,title,description,published date,url,publisher
20,"Amazon reports blowout profit, beats on sales and issues optimistic guidance - CNBC","Amazon reports blowout profit, beats on sales and issues optimistic guidance  CNBC","Thu, 03 Aug 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDgvMDMvYW1hem9uLWFtem4tcTItZWFybmluZ3MtcmVwb3J0LTIwMjMuaHRtbNIBTGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIzLzA4LzAzL2FtYXpvbi1hbXpuLXEyLWVhcm5pbmdzLXJlcG9ydC0yMDIzLmh0bWw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
21,"Amazon reports better-than-expected results, as revenue jumps 13% - CNBC","Amazon reports better-than-expected results, as revenue jumps 13%  CNBC","Thu, 26 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMTAvMjYvYW1hem9uLWFtem4tcTMtZWFybmluZ3MtcmVwb3J0LTIwMjMuaHRtbNIBTGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIzLzEwLzI2L2FtYXpvbi1hbXpuLXEzLWVhcm5pbmdzLXJlcG9ydC0yMDIzLmh0bWw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
22,Amazon (AMZN) Q1 2023 Earnings Expectations - tastylive,Amazon (AMZN) Q1 2023 Earnings Expectations  tastylive ,"Thu, 27 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LnRhc3R5bGl2ZS5jb20vbmV3cy1pbnNpZ2h0cy9hbWF6b24tZWFybmluZ3MtcHJldmlldy1jYW4tYW16bi1iZWF0LWV4cGVjdGF0aW9uc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.tastylive.com', 'title': 'tastylive'}"
23,New Amazon Prime benefit: One Medical health care for $9 a month - About Amazon,New Amazon Prime benefit: One Medical health care for $9 a month  About Amazon,"Wed, 08 Nov 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL3JldGFpbC9vbmUtbWVkaWNhbC1hbWF6b24tcHJpbWUtYmVuZWZpdNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
24,Amazon (AMZN) stock forecast and price prediction - USA TODAY,Amazon (AMZN) stock forecast and price prediction  USA TODAY,"Fri, 27 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9tb25leS9ibHVlcHJpbnQvaW52ZXN0aW5nL3N0b2NrLWZvcmVjYXN0LWFtYXpvbi_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.usatoday.com', 'title': 'USA TODAY'}"
25,Amazon Shares Up More Than 6% After First Quarter Profits Beat Estimates - Investopedia,Amazon Shares Up More Than 6% After First Quarter Profits Beat Estimates  Investopedia,"Thu, 27 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LmludmVzdG9wZWRpYS5jb20vYW1hem9uLWJlYXRzLWZvcmVjYXN0cy1zaGFyZXMtanVtcC03NDg2MjIy0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investopedia.com', 'title': 'Investopedia'}"
26,Reducing Waste and Packaging - Amazon Sustainability - About Amazon,Reducing Waste and Packaging - Amazon Sustainability  About Amazon,"Tue, 18 Jul 2023 01:11:55 GMT",https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vc3VzdGFpbmFiaWxpdHkuYWJvdXRhbWF6b24uY29tL3dhc3Rl0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://sustainability.aboutamazon.com', 'title': 'About Amazon'}"
27,Amazon shares soar on cloud revenue beat and huge profit gain from Rivian stake - CNBC,Amazon shares soar on cloud revenue beat and huge profit gain from Rivian stake  CNBC,"Thu, 03 Feb 2022 08:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDIvMDMvYW1hem9uLWFtem4tcTQtMjAyMS1lYXJuaW5ncy5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDIvMDMvYW1hem9uLWFtem4tcTQtMjAyMS1lYXJuaW5ncy5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
28,"Amazon announces new fulfillment center robots, Sequoia and Digit - About Amazon","Amazon announces new fulfillment center robots, Sequoia and Digit  About Amazon","Wed, 18 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL29wZXJhdGlvbnMvYW1hem9uLWludHJvZHVjZXMtbmV3LXJvYm90aWNzLXNvbHV0aW9uc9IBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
29,Amazon shares fall on bleak forecast and slowest growth since dot-com bust - CNBC,Amazon shares fall on bleak forecast and slowest growth since dot-com bust  CNBC,"Thu, 28 Apr 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjIvMDQvMjgvYW1hem9uLWFtem4tcTEtMjAyMi1lYXJuaW5ncy5odG1s0gFFaHR0cHM6Ly93d3cuY25iYy5jb20vYW1wLzIwMjIvMDQvMjgvYW1hem9uLWFtem4tcTEtMjAyMi1lYXJuaW5ncy5odG1s?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
30,Amazon is delivering its largest selection of products to U.S. Prime members at the fastest speeds ever - About Amazon,Amazon is delivering its largest selection of products to U.S. Prime members at the fastest speeds ever  About Amazon,"Mon, 31 Jul 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmFib3V0YW1hem9uLmNvbS9uZXdzL29wZXJhdGlvbnMvZG91Zy1oZXJyaW5ndG9uLWFtYXpvbi1wcmltZS1kZWxpdmVyeS1zcGVlZNIBAA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.aboutamazon.com', 'title': 'About Amazon'}"
31,AMZN Stock: Is Microsoft Or Google A Better Preview For AWS Earnings? - Investor's Business Daily,AMZN Stock: Is Microsoft Or Google A Better Preview For AWS Earnings?  Investor's Business Daily,"Wed, 25 Oct 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmludmVzdG9ycy5jb20vbmV3cy90ZWNobm9sb2d5L2Ftem4tc3RvY2stcTMtMjAyMy1lYXJuaW5ncy1wcmV2aWV3LW1zZnQtZ29vZy_SAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.investors.com', 'title': ""Investor's Business Daily""}"
32,Here's Why You Should Consider Acquiring Amazon (AMZN) Shares - Yahoo Finance,Here's Why You Should Consider Acquiring Amazon (AMZN) Shares  Yahoo Finance,"Fri, 08 Dec 2023 08:00:00 GMT",https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93aHktY29uc2lkZXItYWNxdWlyaW5nLWFtYXpvbi1hbXpuLTA2NTEwMjI3NC5odG1s0gEA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://finance.yahoo.com', 'title': 'Yahoo Finance'}"
33,Amazon stock dips as uncertain cloud outlook overshadows revenue beat - CNBC,Amazon stock dips as uncertain cloud outlook overshadows revenue beat  CNBC,"Thu, 27 Apr 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjMvMDQvMjcvYW1hem9uLWFtem4tcTEtZWFybmluZ3MtcmVwb3J0LTIwMjMuaHRtbNIBTGh0dHBzOi8vd3d3LmNuYmMuY29tL2FtcC8yMDIzLzA0LzI3L2FtYXpvbi1hbXpuLXExLWVhcm5pbmdzLXJlcG9ydC0yMDIzLmh0bWw?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://www.cnbc.com', 'title': 'CNBC'}"
34,Should You Buy Amazon (AMZN) Stock? - U.S News & World Report Money,Should You Buy Amazon (AMZN) Stock?  U.S News & World Report Money,"Wed, 03 Feb 2021 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vbW9uZXkudXNuZXdzLmNvbS9pbnZlc3RpbmcvYXJ0aWNsZXMvc2hvdWxkLXlvdS1idXktYW1hem9uLWFtem4tc3RvY2vSAQA?oc=5&hl=en-MY&gl=MY&ceid=MY:en,"{'href': 'https://money.usnews.com', 'title': 'U.S News & World Report Money'}"
